md5hash,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum
8afc38b0f9946c000acd5f36e0c85642,2,5,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4898,httpwwwatlasdermatologicocombrimgimageId4898.jpg
31739032077cfd5d9234fe67b6852b4c,1,-1,tungiasis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=7721,httpwwwatlasdermatologicocombrimgimageId7721.jpg
674421e19c97890c1c30aa37830b726a,4,3,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4078,httpwwwatlasdermatologicocombrimgimageId4078.jpg
fdfd34f8f20abd710bf9583de1084f2b,4,2,nematode infection,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3214,httpwwwatlasdermatologicocombrimgimageId3214.jpg
10d2204dc80dcea885cbe195c2558323,6,6,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4909,httpwwwatlasdermatologicocombrimgimageId4909.jpg
c7b55857038353d4ebe2ba24d265d5a3,6,6,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8514,httpwwwatlasdermatologicocombrimgimageId8514.jpg
0fd49c51591feedc864449bacda28683,2,2,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6589,httpwwwatlasdermatologicocombrimgimageId6589.jpg
0b166f51015692634638a934b23deff1,5,5,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4068,httpwwwatlasdermatologicocombrimgimageId4068.jpg
41bb7cbb3871e71cea5d03f887212130,4,4,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5644,httpwwwatlasdermatologicocombrimgimageId5644.jpg
3bcb72fa0fa0c5cd140bade203e3337a,3,3,nematode infection,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8612,httpwwwatlasdermatologicocombrimgimageId8612.jpg
72df197c4d2328ff1191aaace64ea8e7,5,4,porokeratosis actinic,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=5940,httpwwwatlasdermatologicocombrimgimageId5940.jpg
